Name,URL,Cuisines,Area,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,,,2427,0
Sri Udupi Park,https://www.zomato.com/Chennai/sri0udupi0park0indiranagar,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake","Indiranagar, Chennai",4,462,4.1,16000,450,,,,
Meghana Foods,https://www.zomato.com/Chennai/meghana0foods0indiranagar,"Biryani, Andhra, North Indian, Seafood","Indiranagar, Chennai",4.3,1654,4.3,28600,700,,,,
Donne Biriyani House,https://www.zomato.com/Chennai/donne0biriyani0house0indiranagar0Chennai,Biryani,"Indiranagar, Chennai",3.9,411,3.5,33200,300,,,,
Domino's Pizza,https://www.zomato.com/Chennai/dominos0pizza0indiranagar,"Pizza, Fast Food, Desserts","Indiranagar, Chennai",2.4,422,4.4,8205,400,,,,
KFC,https://www.zomato.com/Chennai/kfc0indiranagar,"Burger, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Chennai",2.8,673,4,9148,400,,,,
The Congee Concept,https://www.zomato.com/Chennai/the0congee0concept0ulsoor0Chennai,South Indian,"Ulsoor, Chennai",0,0,4.5,239,100,,,,
Burger King,https://www.zomato.com/Chennai/burger0king0indiranagar,"Burger, Fast Food, Beverages, Desserts","Indiranagar, Chennai",4.1,1499,4.1,22400,400,,,,
McDonald's,https://www.zomato.com/Chennai/mcdonalds0indiranagar,"Burger, Beverages, Fast Food, Desserts","Indiranagar, Chennai",3.8,500,4.1,7508,400,,,,
Mani's Dum Biryani,https://www.zomato.com/manisindiranagar,"Biryani, Kebab","Jeevan Bhima Nagar, Chennai",4.2,708,4.1,12700,800,,,,
Madras Meal Company,https://www.zomato.com/Chennai/madras0meal0company0thippasandra0Chennai,South Indian,"Thippasandra, Chennai",0,0,4,2958,150,,,,
ZAZA 22 Spice Biryani,https://www.zomato.com/Chennai/zaza0220spice0biryani0indiranagar0Chennai,"Biryani, Mughlai, North Indian","Indiranagar, Chennai",0,0,3.8,447,200,,,,
